NAME	StromalScore	ImmuneScore	ESTIMATEScore
ITCC.P4_s01_MB0051_TP01_F01_R01_A03	  -4.483452	-629.826841	-634.310293
ITCC.P4_s01_MB0051_PP02_F01_R01_A03	-2475.324	-2373.796	-4849.120
ITCC.P4_s01_MB0052_PP02_F01_R01_A03	-2571.006	-2404.376	-4975.382
ITCC.P4_s01_MB0053_TP01_F01_R01_A03	-1888.468	-1564.068	-3452.536
ITCC.P4_s01_MB0053_PP01_F01_R01_A03	-2034.277	-2687.899	-4722.177
ITCC.P4_s07_MB0072_TR01_F01_R01_A03	-2105.191	-1944.232	-4049.423
ITCC.P4_s01_MB0079_PP02_F01_R01	-2250.826	-2576.871	-4827.698
ITCC.P4_s01_MB0079_TP01_F01_R01	-1262.6613	 -893.7581	-2156.4194
ITCC.P4_s01_MB0114_PP02_F01_R01_A03	-2403.474	-2738.600	-5142.074
ITCC.P4_s01_MB0422_PP02_F01_R01_A03	-2452.383	-2675.167	-5127.550
ITCC.P4_s01_MB0642_PP07_F01_R01_A03	-2640.410	-2575.152	-5215.562
ITCC.P4_s01_MB0645_PP01_F01_R01_A03	-2747.304	-2521.368	-5268.672
ITCC.P4_s01_MB0646_TP01_F01_R01_A03	-2632.275	-2475.399	-5107.674
ITCC.P4_s09_NB0017_PP02_F01_R01_03	-2460.428	-2820.665	-5281.092
ITCC.P4_s05_NB0018_PT03_F01_R01_03	-2603.804	-2710.096	-5313.900
ITCC.P4_s05_NB0018_TR01_F01_R01_03	-199.3909	-650.3974	-849.7883
ITCC.P4_s05_NB0021_PT03_F01_R01_03	-2515.501	-2724.190	-5239.691
ITCC.P4_s05_NB0021_TP01_F01_R01_03	1284.223	1514.202	2798.425
ITCC.P4_s05_NB0022_PR02_F01_R01_03	-2874.841	-2825.294	-5700.135
ITCC.P4_s05_NB0022_TR01_F01_R01_03	1073.697	1599.475	2673.172
ITCC.P4_s05_NB0024_PP03_F01_R01_03	-2795.877	-2666.139	-5462.015
ITCC.P4_s05_NB0024_TP01_F01_R01_03	-281.0979	 557.6895	 276.5915
ITCC.P4_s05_NB0025_PT03_F01_R01_03	-2581.728	-2608.596	-5190.323
ITCC.P4_s05_NB0025_TR01_F01_R01_03	 -255.765	-1224.766	-1480.531
ITCC.P4_s05_NB0026_PP02_F01_R01_03	-2481.453	-2672.745	-5154.199
ITCC.P4_s05_NB0026_TP01_F01_R01_03	1971.895	3258.746	5230.641
ITCC.P4_s05_NB0179_PR07_F01_R01_03	-2225.784	-2168.959	-4394.742
ITCC.P4_s05_NB0211_PR07_F01_R01_03	-2449.753	-2800.226	-5249.979
ITCC.P4_s05_NB0219_PR05_F01_R01_03	-2971.667	-2607.588	-5579.255
ITCC.P4_s13_NB0241_PR09_F01_R01_03	-2404.264	-2774.733	-5178.997
ITCC.P4_s05_NB0453_PR01_F01_R01_03	-2664.269	-2649.894	-5314.163
ITCC.P4_s13_NB0453_TR01_F01_R01_A03	275.28503	 35.64932	310.93435
ITCC.P4_s05_NB0457_PR01_F01_R01_03	-2598.398	-2626.905	-5225.303
ITCC.P4_s13_NB0457_TR01_F01_R01_A03	-1205.510	-1191.515	-2397.026
ITCC.P4_s15_NB0537_PT03_F01_R01_03	205.6637	136.5401	342.2038
ITCC.P4_s15_NB0542_PP03_F01_R01_03	-2335.323	-2493.895	-4829.218
ITCC.P4_s15_NB0542_TP01_F01_R01_03	1244.512	1749.354	2993.866
ITCC.P4_s05_NS0203_PR06_F01_R01_03	-1003.127	-1860.435	-2863.562
ITCC.P4_s05_OS0011_P01_PP01_F01_R01_03	 -950.1049	-1483.7477	-2433.8526
ITCC.P4_s05_OS0012_PM01_F01_R01_03	 -780.5688	-1597.9811	-2378.5499
ITCC.P4_s05_OS0012_TM01_F01_R01_03	-160.6945	 771.8706	 611.1761
ITCC.P4_s05_OS0012_PM02_F01_R01_03	-1277.246	-1490.223	-2767.469
ITCC.P4_s05_OS0013_PP01_F01_R01_03	 -103.9442	-1415.2510	-1519.1952
ITCC.P4_s05_OS0013_TP01_F01_R01_03	 144.5539	 981.6025	1126.1564
ITCC.P4_s05_OS0015_P01_PP01_F01_R01_03	-1280.296	-1856.745	-3137.041
ITCC.P4_s05_OS0016_P01_PP01_F01_R01_03	 -131.7655	-1169.9480	-1301.7135
ITCC.P4_s05_OS0102_PP01_F01_R01_03	 -520.4663	-1599.7194	-2120.1857
ITCC.P4_s05_OS0186_PM08_F01_R01_03	-1168.0522	 -837.2024	-2005.2546
ITCC.P4_s05_OS0205_PR07_F01_R01_03	 -200.7063	-1336.0227	-1536.7290
ITCC.P4_s13_OS0210_PR05_F01_R01_03	 -253.0035	-1121.5063	-1374.5098
ITCC.P4_s13_OS0215_PR06_F01_R01_03	 -399.2123	-1148.9058	-1548.1181
ITCC.P4_s13_OS0226_PR04_F01_R01_03	 -311.8222	-1531.2826	-1843.1048
ITCC.P4_s13_OS0234_PR02_F01_R01_03	 -326.3168	-1468.2289	-1794.5456
ITCC.P4_s13_OS0262_PR04_F01_R01_03	   24.62147	-1373.33715	-1348.71568
ITCC.P4_s05_OS0426_PR08_F01_R01_03	 -836.4556	-1855.3373	-2691.7929
ITCC.P4_s13_OS0431_PR07_F01_R01_03	  -56.8292	-1158.9332	-1215.7624
ITCC.P4_s13_OS0444_PR04_F01_R01_03	-1489.401	-1723.972	-3213.373
ITCC.P4_s05_OS0454_PM01_F01_R01_03	-1745.076	-1986.010	-3731.086
ITCC.P4_s13_OS0454_TM01_F01_R01_A03	1039.652	1053.995	2093.647
ITCC.P4_s05_OS0458_PR01_F01_R01_03	-1395.903	-2303.717	-3699.620
ITCC.P4_s05_OS0459_PP01_F01_R01_03	-1684.114	-1956.662	-3640.776
ITCC.P4_s05_OS0459_PP02_F01_R01_03	-1860.538	-1934.725	-3795.264
